n	inicio	medio	n
100000	0.0168600082397	767.580444098
98000	0.0197949409485	875.807203054	1422.85786295
94000	0.0164229869843	765.645820141	1398.83941889
90000	0.0181438922882	779.08140111	1274.21030402
86000	0.0156788825989	687.381551981	1377.48118401
82000	0.017364025116	747.526090145	1218.42739391
78000	0.0363831520081	691.389515877	1098.32818794
74000	0.0151309967041	587.298836946	1003.61401916
70000	0.0161690711975	528.913678885	922.182639837
66000	0.0137679576874	482.107348919	827.524941921
62000	0.012353181839	453.835181952	706.40188694
58000	0.0130650997162	361.957440138	645.411279917
54000	0.0165910720825	349.350269079	487.845620155
50000	0.00800108909607	166.571583033	319.138710976
46000	0.00786900520325	165.798627853	306.761094809
42000	0.00879597663879	155.560872078	270.428395987
38000	0.00595283508301	89.92735219	131.431424856
34000	0.00544905662537	84.5166509151	116.317198992
30000	0.00484013557434	78.080714941	85.0032589436
26000	0.0055410861969	64.2257270813	59.3293468952
22000	0.00338101387024	29.4892280102	40.0504229069
18000	0.00268292427063	18.9353919029	26.0031359196
14000	0.00208187103271	11.3809111118	15.6724658012
10000	0.00150012969971	5.69097304344	7.86578893661
