n	inicio	medio	n
100000	190.643723965	173.243474007	225.395108938
98000	171.732861996	390.531784058	197.942181826
94000	162.578299046	264.22675705	148.528556108
90000	118.533394098	466.325250864	132.772339821
86000	85.5785710812	156.600885153	95.7150788307
82000	30.1734721661	447.407853842	57.9045820236
78000	0.266731977463	51.0137069225	19.0585298538
74000	452.021257162	186.078142881	629.465445042
70000	454.931764841	457.750224113	596.012184858
66000	430.907721996	451.121992826	468.907508135
62000	344.636414051	373.366742849	405.905631781
58000	328.98428607	361.925205946	389.799371004
54000	261.32004714	190.678794146	354.751091003
50000	203.846334934	382.716972113	269.777119875
46000	216.576334953	32.8672120571	297.178177834
42000	177.087317944	239.702135086	147.287755966
38000	88.8031339645	46.9784770012	136.804444075
34000	71.1313579082	115.049746037	121.895314217
30000	38.8054189682	25.7638978958	98.1470160484
26000	22.4894628525	63.1438469887	50.7501380444
22000	10.1886811256	48.3589031696	33.7939059734
18000	1.10733914375	24.2128698826	20.4674780369
14000	12.8956649303	1.85201692581	10.2916190624
10000	5.18867516518	3.98095607758	3.35165905952
6000	0.730089902878	2.73733878136	0.560271978378
