n	inicio	medio	n
100000	0.0458579063416	0.0395331382751	0.0391700267792
98000	0.0620100498199	0.607349872589	0.0592410564423
94000	0.0481991767883	0.0443770885468	0.0457170009613
90000	0.0530228614807	0.0535588264465	0.0549249649048
86000	0.0389370918274	0.0378651618958	0.0391991138458
82000	0.0566689968109	0.054044008255	0.0592789649963
78000	0.0547690391541	0.0552740097046	0.0540452003479
74000	0.0386600494385	0.0342040061951	0.0359508991241
70000	0.0485858917236	0.0488631725311	0.04731798172
66000	0.0478420257568	0.0422699451447	0.0434470176697
62000	0.032744884491	0.0259940624237	0.027251958847
58000	0.039643049240	0.0386168956757	0.0387980937958
54000	0.0346441268921	0.03466796875	0.0319859981537
50000	0.0167739391327	0.0162551403046	0.0168790817261
46000	0.0172479152679	0.0203371047974	0.0169668197632
42000	0.0264649391174	0.0258359909058	0.0230810642242
38000	0.0117979049683	0.0118680000305	0.0116980075836
34000	0.0108590126038	0.0113060474396	0.0112619400024
30000	0.0168519020081	0.0164451599121	0.0177991390228
26000	0.0140290260315	0.0165560245514	0.0139479637146
22000	0.0066351890564	0.00620293617249	0.006756067276
18000	0.00496292114258	0.00492191314697	0.0048520565033
14000	0.00431394577026	0.0036838054657	0.00367498397827
10000	0.00253009796143	0.00265598297119	0.00249099731445
6000	0.00141096115112	0.00145888328552	0.00137495994568	
