order,k,time
sorted_selection,0,2.40802764893e-05
sorted_selection,62,1.69277191162e-05
sorted_selection,124,1.59740447998e-05
k_heapsort,0,9.51290130615e-05
k_heapsort,62,0.000244140625
k_heapsort,124,0.000369071960449
k_selection,0,2.40802764893e-05
k_selection,62,0.000932931900024
k_selection,124,0.00128984451294
heap select,0,5.41210174561e-05
heap select,62,0.000262975692749
heap select,124,0.000208854675293
fuerza bruta,0,0.00155282020569
fuerza bruta,62,0.00117111206055
fuerza bruta,124,0.000978946685791
quick_select,0,0.000126838684082
quick_select,62,0.000169992446899
quick_select,124,6.79492950439e-05
order,k,time
sorted_selection,0,9.29832458496e-05
sorted_selection,250,8.20159912109e-05
sorted_selection,499,8.20159912109e-05
k_heapsort,0,0.000322103500366
k_heapsort,250,0.00114297866821
k_heapsort,499,0.00183916091919
k_selection,0,8.17775726318e-05
k_selection,250,0.0139760971069
k_selection,499,0.0188128948212
heap select,0,0.000196218490601
heap select,250,0.00119304656982
heap select,499,0.000645875930786
fuerza bruta,0,0.000387907028198
fuerza bruta,250,0.0124409198761
fuerza bruta,499,0.0225210189819
quick_select,0,0.000469207763672
quick_select,250,0.000595092773438
quick_select,499,0.000255107879639
order,k,time
sorted_selection,0,0.000200033187866
sorted_selection,500,0.000182867050171
sorted_selection,999,0.000182151794434
k_heapsort,0,0.000602960586548
k_heapsort,500,0.0025360584259
k_heapsort,999,0.00406002998352
k_selection,0,0.0001540184021
k_selection,500,0.0555670261383
k_selection,999,0.0747418403625
heap select,0,0.000379085540771
heap select,500,0.00251221656799
heap select,999,0.00130486488342
fuerza bruta,0,0.0346200466156
fuerza bruta,500,0.0199508666992
fuerza bruta,999,0.0946190357208
quick_select,0,0.000938892364502
quick_select,500,0.00154519081116
quick_select,999,0.000464916229248
order,k,time
sorted_selection,0,0.000441074371338
sorted_selection,1000,0.000501155853271
sorted_selection,1999,0.000400066375732
k_heapsort,0,0.00118088722229
k_heapsort,1000,0.0052490234375
k_heapsort,1999,0.00870800018311
k_selection,0,0.000303983688354
k_selection,1000,0.222038984299
k_selection,1999,0.298304080963
heap select,0,0.000729084014893
heap select,1000,0.0052318572998
heap select,1999,0.00252079963684
fuerza bruta,0,0.180732965469
fuerza bruta,1000,0.391042947769
fuerza bruta,1999,0.390364170074
quick_select,0,0.00186395645142
quick_select,1000,0.00245904922485
quick_select,1999,0.000985145568848
order,k,time
sorted_selection,0,0.000910997390747
sorted_selection,2000,0.000854969024658
sorted_selection,3999,0.000854015350342
k_heapsort,0,0.0024402141571
k_heapsort,2000,0.0113430023193
k_heapsort,3999,0.018975019455
k_selection,0,0.000602960586548
k_selection,2000,0.899204969406
k_selection,3999,1.21149420738
heap select,0,0.00148296356201
heap select,2000,0.0111281871796
heap select,3999,0.00517416000366
fuerza bruta,0,0.364454030991
fuerza bruta,2000,0.778262138367
fuerza bruta,3999,0.771409988403
quick_select,0,0.00371193885803
quick_select,2000,0.00506496429443
quick_select,3999,0.00181889533997
order,k,time
sorted_selection,0,0.00140595436096
sorted_selection,3000,0.00137305259705
sorted_selection,5999,0.00140881538391
k_heapsort,0,0.00348496437073
k_heapsort,3000,0.0174968242645
k_heapsort,5999,0.0294461250305
k_selection,0,0.00089693069458
k_selection,3000,2.00637793541
k_selection,5999,2.73573088646
heap select,0,0.00211787223816
heap select,3000,0.0165169239044
heap select,5999,0.00767111778259
fuerza bruta,0,0.714432001114
fuerza bruta,3000,2.74660301208
fuerza bruta,5999,0.554589033127
quick_select,0,0.00577902793884
quick_select,3000,0.00871205329895
quick_select,5999,0.00294399261475
order,k,time
sorted_selection,0,0.00255680084229
sorted_selection,5000,0.00248003005981
sorted_selection,9999,0.00246596336365
k_heapsort,0,0.00593900680542
k_heapsort,5000,0.0317721366882
k_heapsort,9999,0.0540118217468
k_selection,0,0.00151705741882
k_selection,5000,5.75915884972
k_selection,9999,7.95711779594
heap select,0,0.00361084938049
heap select,5000,0.0292880535126
heap select,9999,0.0130150318146
fuerza bruta,0,5.24120116234
fuerza bruta,5000,3.93057799339
fuerza bruta,9999,3.30370402336
quick_select,0,0.0091860294342
quick_select,5000,0.0157251358032
quick_select,9999,0.00448799133301
order,k,time
sorted_selection,0,0.0037100315094
sorted_selection,7000,0.00369811058044
sorted_selection,13999,0.00367903709412
k_heapsort,0,0.00814890861511
k_heapsort,7000,0.0444619655609
k_heapsort,13999,0.0750508308411
k_selection,0,0.0020649433136
k_selection,7000,11.1316609383
k_selection,13999,15.513504982
heap select,0,0.00522494316101
heap select,7000,0.0422399044037
heap select,13999,0.0184350013733
fuerza bruta,0,12.8138110638
fuerza bruta,7000,1.81309700012
fuerza bruta,13999,10.1380388737
quick_select,0,0.0129399299622
quick_select,7000,0.0168468952179
quick_select,13999,0.0066089630127
order,k,time
sorted_selection,0,0.00486016273499
sorted_selection,9000,0.00488591194153
sorted_selection,17999,0.00481915473938
k_heapsort,0,0.0105910301208
k_heapsort,9000,0.0595140457153
k_heapsort,17999,0.100021839142
k_selection,0,0.00266599655151
k_selection,9000,18.915222168
k_selection,17999,26.7716071606
heap select,0,0.00641894340515
heap select,9000,0.0577540397644
heap select,17999,0.0243530273438
fuerza bruta,0,1.1113550663
fuerza bruta,9000,24.0685391426
fuerza bruta,17999,20.2167561054
quick_select,0,0.0165021419525
quick_select,9000,0.0231149196625
quick_select,17999,0.00832295417786
order,k,time
sorted_selection,0,0.00622987747192
sorted_selection,11000,0.00611996650696
sorted_selection,21999,0.00610589981079
k_heapsort,0,0.0127909183502
k_heapsort,11000,0.0756459236145
k_heapsort,21999,0.127889156342
k_selection,0,0.00337600708008
k_selection,11000,29.3380110264
k_selection,21999,40.2405951023
heap select,0,0.00778889656067
heap select,11000,0.0722551345825
heap select,21999,0.0302271842957
fuerza bruta,0,10.3544089794
fuerza bruta,11000,48.4804208279
fuerza bruta,21999,33.9916269779
quick_select,0,0.0201120376587
quick_select,11000,0.0359580516815
quick_select,21999,0.0104548931122
order,k,time
sorted_selection,0,0.00752115249634
sorted_selection,13000,0.00748300552368
sorted_selection,25999,0.00902700424194
k_heapsort,0,0.0151340961456
k_heapsort,13000,0.0887200832367
k_heapsort,25999,0.161484956741
k_selection,0,0.00395011901855
k_selection,13000,39.9563951492
k_selection,25999,55.6436328888
heap select,0,0.00935411453247
heap select,13000,0.0820550918579
heap select,25999,0.034893989563
fuerza bruta,0,22.3210639954
fuerza bruta,13000,62.7442779541
fuerza bruta,25999,50.0403540134
quick_select,0,0.0235800743103
quick_select,13000,0.0356130599976
quick_select,25999,0.0121381282806
order,k,time
sorted_selection,0,0.00888109207153
sorted_selection,15000,0.00884294509888
sorted_selection,29999,0.0089259147644
k_heapsort,0,0.0176479816437
k_heapsort,15000,0.110028982162
k_heapsort,29999,0.189506053925
k_selection,0,0.00451683998108
k_selection,15000,53.5095891953
k_selection,29999,75.9325139523
heap select,0,0.0106201171875
heap select,15000,0.0962212085724
heap select,29999,0.040088891983
fuerza bruta,0,37.32340312
fuerza bruta,15000,24.7793529034
fuerza bruta,29999,69.0201740265
quick_select,0,0.0279011726379
quick_select,15000,0.0390439033508
quick_select,29999,0.0140750408173
order,k,time
sorted_selection,0,0.0103249549866
sorted_selection,17000,0.0100948810577
sorted_selection,33999,0.0100610256195
k_heapsort,0,0.0212528705597
